Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-07-02 09:15:00+05:30,1310.0,1311.0999755859375,1305.5999755859375,1307.9000244140625,0,0.0,0.0
2026-07-02 09:20:00+05:30,1308.0,1311.4000244140625,1307.800048828125,1310.5999755859375,175798,0.0,0.0
2026-07-02 09:25:00+05:30,1310.5,1312.4000244140625,1308.699951171875,1308.699951171875,110507,0.0,0.0
2026-07-02 09:30:00+05:30,1309.0,1310.9000244140625,1308.699951171875,1310.0999755859375,156242,0.0,0.0
2026-07-02 09:35:00+05:30,1310.199951171875,1311.800048828125,1309.699951171875,1311.800048828125,92974,0.0,0.0
2026-07-02 09:40:00+05:30,1312.0,1313.0,1311.199951171875,1312.199951171875,160476,0.0,0.0
2026-07-02 09:45:00+05:30,1312.0,1312.0,1310.199951171875,1310.5999755859375,84686,0.0,0.0
2026-07-02 09:50:00+05:30,1310.800048828125,1310.800048828125,1308.0,1308.5,118413,0.0,0.0
2026-07-02 09:55:00+05:30,1308.5,1309.5999755859375,1308.5,1309.300048828125,73614,0.0,0.0
2026-07-02 10:00:00+05:30,1309.199951171875,1309.300048828125,1304.300048828125,1305.300048828125,285609,0.0,0.0
2026-07-02 10:05:00+05:30,1305.300048828125,1306.300048828125,1304.0999755859375,1306.199951171875,130138,0.0,0.0
2026-07-02 10:10:00+05:30,1306.199951171875,1307.0,1305.0,1305.0,126991,0.0,0.0
2026-07-02 10:15:00+05:30,1305.0,1305.0,1303.0999755859375,1303.699951171875,151402,0.0,0.0
2026-07-02 10:20:00+05:30,1303.4000244140625,1304.4000244140625,1302.5999755859375,1303.5,236660,0.0,0.0
2026-07-02 10:25:00+05:30,1303.5,1304.699951171875,1302.699951171875,1304.0,134060,0.0,0.0
2026-07-02 10:30:00+05:30,1304.4000244140625,1304.5,1302.5,1302.800048828125,145454,0.0,0.0
2026-07-02 10:35:00+05:30,1303.199951171875,1303.9000244140625,1302.699951171875,1303.800048828125,62235,0.0,0.0
2026-07-02 10:40:00+05:30,1303.699951171875,1303.800048828125,1302.699951171875,1303.5,125320,0.0,0.0
2026-07-02 10:45:00+05:30,1303.4000244140625,1303.9000244140625,1302.4000244140625,1303.0999755859375,105528,0.0,0.0
2026-07-02 10:50:00+05:30,1303.4000244140625,1304.300048828125,1301.0,1301.0,368449,0.0,0.0
2026-07-02 10:55:00+05:30,1301.0999755859375,1303.9000244140625,1300.5,1302.0,1271286,0.0,0.0
2026-07-02 11:00:00+05:30,1302.0,1304.0999755859375,1301.9000244140625,1304.0,185241,0.0,0.0
2026-07-02 11:05:00+05:30,1304.0,1305.800048828125,1303.699951171875,1303.9000244140625,298760,0.0,0.0
2026-07-02 11:10:00+05:30,1303.9000244140625,1304.0999755859375,1303.4000244140625,1303.800048828125,79815,0.0,0.0
2026-07-02 11:15:00+05:30,1303.9000244140625,1304.300048828125,1303.4000244140625,1304.300048828125,196082,0.0,0.0
2026-07-02 11:20:00+05:30,1303.699951171875,1305.0,1302.699951171875,1304.0,489263,0.0,0.0
2026-07-02 11:25:00+05:30,1303.800048828125,1304.699951171875,1301.199951171875,1301.5999755859375,526701,0.0,0.0
2026-07-02 11:30:00+05:30,1301.5999755859375,1301.699951171875,1299.4000244140625,1300.5999755859375,429838,0.0,0.0
2026-07-02 11:35:00+05:30,1300.699951171875,1303.0,1299.800048828125,1302.199951171875,106559,0.0,0.0
2026-07-02 11:40:00+05:30,1302.300048828125,1303.0,1300.699951171875,1303.0,107882,0.0,0.0
2026-07-02 11:45:00+05:30,1303.0,1304.0,1302.300048828125,1302.800048828125,480042,0.0,0.0
2026-07-02 11:50:00+05:30,1302.9000244140625,1303.0,1302.199951171875,1302.199951171875,96485,0.0,0.0
2026-07-02 11:55:00+05:30,1302.300048828125,1304.300048828125,1302.300048828125,1303.5999755859375,414133,0.0,0.0
2026-07-02 12:00:00+05:30,1303.5999755859375,1304.199951171875,1302.699951171875,1302.800048828125,229687,0.0,0.0
2026-07-02 12:05:00+05:30,1303.0,1304.5999755859375,1302.9000244140625,1303.4000244140625,396521,0.0,0.0
2026-07-02 12:10:00+05:30,1303.9000244140625,1304.300048828125,1303.4000244140625,1304.199951171875,251466,0.0,0.0
2026-07-02 12:15:00+05:30,1304.0,1304.4000244140625,1303.300048828125,1303.699951171875,312925,0.0,0.0
2026-07-02 12:20:00+05:30,1303.699951171875,1304.5,1303.5,1304.0,460726,0.0,0.0
2026-07-02 12:25:00+05:30,1304.0999755859375,1304.4000244140625,1303.5999755859375,1304.199951171875,181147,0.0,0.0
2026-07-02 12:30:00+05:30,1304.199951171875,1304.199951171875,1303.0999755859375,1303.4000244140625,179777,0.0,0.0
2026-07-02 12:35:00+05:30,1303.300048828125,1304.0,1303.300048828125,1303.9000244140625,72251,0.0,0.0
2026-07-02 12:40:00+05:30,1303.800048828125,1304.0,1302.5999755859375,1303.300048828125,185223,0.0,0.0
2026-07-02 12:45:00+05:30,1303.199951171875,1303.800048828125,1302.5,1303.300048828125,123635,0.0,0.0
2026-07-02 12:50:00+05:30,1303.300048828125,1304.0999755859375,1302.699951171875,1303.5,102336,0.0,0.0
2026-07-02 12:55:00+05:30,1303.5,1304.0,1303.0999755859375,1303.699951171875,156620,0.0,0.0
2026-07-02 13:00:00+05:30,1303.800048828125,1304.0999755859375,1302.800048828125,1303.9000244140625,213078,0.0,0.0
2026-07-02 13:05:00+05:30,1304.0,1304.300048828125,1303.699951171875,1303.800048828125,122860,0.0,0.0
2026-07-02 13:10:00+05:30,1303.9000244140625,1304.4000244140625,1303.800048828125,1304.4000244140625,132305,0.0,0.0
2026-07-02 13:15:00+05:30,1304.0,1304.5,1303.199951171875,1303.9000244140625,212165,0.0,0.0
2026-07-02 13:20:00+05:30,1304.199951171875,1304.5,1303.4000244140625,1304.300048828125,229809,0.0,0.0
2026-07-02 13:25:00+05:30,1304.0999755859375,1304.699951171875,1303.699951171875,1304.199951171875,381254,0.0,0.0
2026-07-02 13:30:00+05:30,1304.0999755859375,1304.4000244140625,1303.4000244140625,1303.800048828125,302419,0.0,0.0
2026-07-02 13:35:00+05:30,1303.5,1307.0,1303.4000244140625,1305.0999755859375,198135,0.0,0.0
2026-07-02 13:40:00+05:30,1305.0999755859375,1305.4000244140625,1303.800048828125,1303.9000244140625,127402,0.0,0.0
2026-07-02 13:45:00+05:30,1303.800048828125,1304.699951171875,1303.800048828125,1303.800048828125,165186,0.0,0.0
2026-07-02 13:50:00+05:30,1303.800048828125,1304.9000244140625,1303.5999755859375,1303.699951171875,123804,0.0,0.0
2026-07-02 13:55:00+05:30,1303.9000244140625,1304.0999755859375,1303.4000244140625,1303.699951171875,104300,0.0,0.0
2026-07-02 14:00:00+05:30,1303.800048828125,1304.199951171875,1303.199951171875,1303.699951171875,126801,0.0,0.0
2026-07-02 14:05:00+05:30,1304.0,1304.5,1303.699951171875,1304.0,136676,0.0,0.0
2026-07-02 14:10:00+05:30,1304.0,1304.5999755859375,1303.800048828125,1303.9000244140625,167256,0.0,0.0
2026-07-02 14:15:00+05:30,1303.9000244140625,1304.5,1303.5999755859375,1303.699951171875,177487,0.0,0.0
2026-07-02 14:20:00+05:30,1303.699951171875,1304.5,1303.5,1303.800048828125,112029,0.0,0.0
2026-07-02 14:25:00+05:30,1303.9000244140625,1304.0,1303.300048828125,1303.300048828125,146550,0.0,0.0
2026-07-02 14:30:00+05:30,1303.300048828125,1304.0,1303.300048828125,1303.5,97692,0.0,0.0
2026-07-02 14:35:00+05:30,1304.0,1304.0999755859375,1303.300048828125,1303.5999755859375,106868,0.0,0.0
2026-07-02 14:40:00+05:30,1303.800048828125,1304.300048828125,1303.5999755859375,1303.800048828125,130659,0.0,0.0
2026-07-02 14:45:00+05:30,1303.800048828125,1304.800048828125,1303.5999755859375,1303.699951171875,267963,0.0,0.0
2026-07-02 14:50:00+05:30,1303.699951171875,1304.199951171875,1303.5,1303.5,162961,0.0,0.0
2026-07-02 14:55:00+05:30,1303.5,1303.800048828125,1302.9000244140625,1303.0999755859375,147340,0.0,0.0
2026-07-02 15:00:00+05:30,1303.199951171875,1305.300048828125,1303.199951171875,1304.0,716754,0.0,0.0
