Datetime,Symbol,Open,High,Low,Close,Volume
2026-08-07 09:15:00,APOLLOHOSP.NS,8981.0,8990.0,8964.0,8976.0,0
2026-08-07 09:20:00,APOLLOHOSP.NS,8977.0,8997.5,8963.0,8970.5,27649
2026-08-07 09:25:00,APOLLOHOSP.NS,8972.5,8981.5,8963.5,8966.0,6795
2026-08-07 09:30:00,APOLLOHOSP.NS,8969.0,8969.0,8951.5,8968.0,9361
2026-08-07 09:35:00,APOLLOHOSP.NS,8968.0,8974.0,8960.5,8963.5,5142
2026-08-07 09:40:00,APOLLOHOSP.NS,8963.5,8978.5,8963.5,8978.5,2527
2026-08-07 09:45:00,APOLLOHOSP.NS,8979.0,8997.5,8970.0,8974.5,16104
2026-08-07 09:50:00,APOLLOHOSP.NS,8977.5,8977.5,8967.5,8970.5,3464
2026-08-07 09:55:00,APOLLOHOSP.NS,8970.5,8974.5,8966.0,8967.0,3738
2026-08-07 10:00:00,APOLLOHOSP.NS,8967.0,8967.0,8952.5,8958.5,4588
2026-08-07 10:05:00,APOLLOHOSP.NS,8963.0,8972.0,8961.0,8970.0,2545
2026-08-07 10:10:00,APOLLOHOSP.NS,8969.0,8971.5,8963.5,8966.0,2075
2026-08-07 10:15:00,APOLLOHOSP.NS,8967.0,8967.0,8941.0,8941.5,4099
2026-08-07 10:20:00,APOLLOHOSP.NS,8941.5,8946.0,8941.5,8944.5,1811
2026-08-07 10:25:00,APOLLOHOSP.NS,8944.5,8967.0,8942.0,8967.0,2268
2026-08-07 10:30:00,APOLLOHOSP.NS,8966.5,8973.0,8965.5,8970.0,2497
2026-08-07 10:35:00,APOLLOHOSP.NS,8970.0,8986.5,8968.0,8985.0,4960
2026-08-07 10:40:00,APOLLOHOSP.NS,8982.5,8987.5,8981.5,8984.0,1762
2026-08-07 10:45:00,APOLLOHOSP.NS,8985.0,8988.0,8984.5,8986.0,1287
2026-08-07 10:50:00,APOLLOHOSP.NS,8985.0,8987.5,8984.5,8987.5,1818
2026-08-07 10:55:00,APOLLOHOSP.NS,8985.0,8989.0,8982.0,8985.0,1668
2026-08-07 11:00:00,APOLLOHOSP.NS,8985.0,8988.0,8982.5,8983.0,1882
2026-08-07 11:05:00,APOLLOHOSP.NS,8985.0,8985.0,8972.0,8973.0,2263
2026-08-07 11:10:00,APOLLOHOSP.NS,8972.0,8975.0,8970.5,8972.0,1385
2026-08-07 11:15:00,APOLLOHOSP.NS,8972.0,8975.0,8967.0,8967.5,1335
2026-08-07 11:20:00,APOLLOHOSP.NS,8970.0,8974.5,8968.0,8974.0,842
2026-08-07 11:25:00,APOLLOHOSP.NS,8974.0,8974.5,8965.5,8970.0,1678
2026-08-07 11:30:00,APOLLOHOSP.NS,8971.5,8971.5,8967.0,8968.0,1115
2026-08-07 11:35:00,APOLLOHOSP.NS,8968.0,8976.0,8966.0,8974.0,1159
2026-08-07 11:40:00,APOLLOHOSP.NS,8975.0,8978.0,8974.0,8975.0,1361
2026-08-07 11:45:00,APOLLOHOSP.NS,8975.0,8978.0,8974.5,8975.0,950
2026-08-07 11:50:00,APOLLOHOSP.NS,8975.0,8978.0,8970.5,8972.0,1160
2026-08-07 11:55:00,APOLLOHOSP.NS,8972.0,8972.0,8934.0,8946.0,5588
2026-08-07 12:00:00,APOLLOHOSP.NS,8948.0,8948.5,8935.5,8939.0,2578
2026-08-07 12:05:00,APOLLOHOSP.NS,8939.0,8945.0,8939.0,8941.5,2668
2026-08-07 12:10:00,APOLLOHOSP.NS,8942.0,8942.0,8936.5,8938.0,1930
2026-08-07 12:15:00,APOLLOHOSP.NS,8932.0,8946.0,8932.0,8940.0,1471
2026-08-07 12:20:00,APOLLOHOSP.NS,8940.0,8945.5,8939.0,8940.5,1344
