Datetime,Symbol,Open,High,Low,Close,Volume
2026-08-07 09:15:00,HEROMOTOCO.NS,5587.5,5689.0,5585.5,5620.5,92393
2026-08-07 09:20:00,HEROMOTOCO.NS,5618.0,5649.5,5613.5,5645.5,29953
2026-08-07 09:25:00,HEROMOTOCO.NS,5646.0,5665.0,5637.5,5651.5,68391
2026-08-07 09:30:00,HEROMOTOCO.NS,5651.5,5656.0,5620.5,5651.5,53641
2026-08-07 09:35:00,HEROMOTOCO.NS,5654.0,5703.0,5653.0,5692.5,103376
2026-08-07 09:40:00,HEROMOTOCO.NS,5692.5,5724.0,5684.5,5724.0,87168
2026-08-07 09:45:00,HEROMOTOCO.NS,5725.0,5736.0,5704.5,5710.0,97546
2026-08-07 09:50:00,HEROMOTOCO.NS,5707.5,5732.0,5694.5,5726.0,64886
2026-08-07 09:55:00,HEROMOTOCO.NS,5726.0,5731.5,5707.5,5710.5,17507
2026-08-07 10:00:00,HEROMOTOCO.NS,5711.0,5720.0,5706.0,5712.5,14356
2026-08-07 10:05:00,HEROMOTOCO.NS,5712.5,5726.5,5708.5,5720.5,29445
2026-08-07 10:10:00,HEROMOTOCO.NS,5720.5,5724.5,5711.0,5711.5,24276
2026-08-07 10:15:00,HEROMOTOCO.NS,5711.5,5715.0,5693.5,5708.0,22363
2026-08-07 10:20:00,HEROMOTOCO.NS,5708.0,5720.0,5708.0,5717.5,36697
2026-08-07 10:25:00,HEROMOTOCO.NS,5718.5,5736.0,5715.0,5728.0,29050
2026-08-07 10:30:00,HEROMOTOCO.NS,5728.0,5728.0,5717.5,5722.0,7720
2026-08-07 10:35:00,HEROMOTOCO.NS,5723.0,5726.5,5712.0,5712.5,12204
2026-08-07 10:40:00,HEROMOTOCO.NS,5712.5,5724.5,5712.0,5712.0,10808
2026-08-07 10:45:00,HEROMOTOCO.NS,5713.0,5720.0,5709.0,5718.5,12995
2026-08-07 10:50:00,HEROMOTOCO.NS,5719.0,5764.5,5718.5,5761.0,74578
2026-08-07 10:55:00,HEROMOTOCO.NS,5764.0,5799.0,5761.5,5786.5,95594
2026-08-07 11:00:00,HEROMOTOCO.NS,5786.5,5786.5,5702.0,5713.5,74141
2026-08-07 11:05:00,HEROMOTOCO.NS,5715.0,5721.0,5702.0,5704.0,32491
2026-08-07 11:10:00,HEROMOTOCO.NS,5704.0,5713.0,5641.5,5695.5,90805
2026-08-07 11:15:00,HEROMOTOCO.NS,5698.0,5707.5,5660.0,5666.0,38194
2026-08-07 11:20:00,HEROMOTOCO.NS,5666.0,5682.0,5665.0,5680.0,16682
2026-08-07 11:25:00,HEROMOTOCO.NS,5680.0,5701.5,5679.0,5691.0,26413
2026-08-07 11:30:00,HEROMOTOCO.NS,5693.0,5710.0,5689.5,5690.5,21261
2026-08-07 11:35:00,HEROMOTOCO.NS,5690.5,5711.5,5690.5,5711.5,13974
2026-08-07 11:40:00,HEROMOTOCO.NS,5706.0,5707.5,5691.5,5696.5,10060
2026-08-07 11:45:00,HEROMOTOCO.NS,5695.0,5700.0,5662.5,5668.0,19734
2026-08-07 11:50:00,HEROMOTOCO.NS,5667.0,5686.0,5660.0,5679.5,25714
2026-08-07 11:55:00,HEROMOTOCO.NS,5680.5,5685.0,5672.5,5675.5,11843
