Datetime,Symbol,Open,High,Low,Close,Volume
2026-08-07 09:15:00,EICHERMOT.NS,7960.0,8001.0,7960.0,7990.0,12369
2026-08-07 09:20:00,EICHERMOT.NS,7990.0,8015.5,7988.5,8012.0,5440
2026-08-07 09:25:00,EICHERMOT.NS,8007.5,8015.0,7982.5,7985.5,5602
2026-08-07 09:30:00,EICHERMOT.NS,7986.5,8007.0,7981.0,8000.0,6309
2026-08-07 09:35:00,EICHERMOT.NS,8006.5,8027.5,8006.5,8024.5,15610
2026-08-07 09:40:00,EICHERMOT.NS,8014.0,8030.0,8013.0,8030.0,11056
2026-08-07 09:45:00,EICHERMOT.NS,8030.0,8040.0,8029.0,8036.0,12068
2026-08-07 09:50:00,EICHERMOT.NS,8035.5,8042.0,8020.0,8039.5,7214
2026-08-07 09:55:00,EICHERMOT.NS,8041.5,8041.5,8032.0,8038.0,3530
2026-08-07 10:00:00,EICHERMOT.NS,8037.5,8049.0,8035.0,8049.0,7341
2026-08-07 10:05:00,EICHERMOT.NS,8050.0,8067.5,8047.5,8059.5,15590
2026-08-07 10:10:00,EICHERMOT.NS,8063.5,8064.0,8037.0,8038.0,8159
2026-08-07 10:15:00,EICHERMOT.NS,8039.5,8039.5,8020.5,8026.5,4935
2026-08-07 10:20:00,EICHERMOT.NS,8029.0,8032.0,8021.0,8025.0,2661
2026-08-07 10:25:00,EICHERMOT.NS,8024.5,8029.0,8022.5,8026.0,3218
2026-08-07 10:30:00,EICHERMOT.NS,8023.5,8028.0,8022.0,8025.0,2263
2026-08-07 10:35:00,EICHERMOT.NS,8025.5,8035.0,8024.0,8027.5,2863
2026-08-07 10:40:00,EICHERMOT.NS,8027.5,8030.0,8020.0,8020.0,4778
2026-08-07 10:45:00,EICHERMOT.NS,8020.0,8033.0,8020.0,8032.5,2771
2026-08-07 10:50:00,EICHERMOT.NS,8035.0,8045.0,8022.5,8026.5,5567
2026-08-07 10:55:00,EICHERMOT.NS,8023.5,8032.5,8020.0,8025.0,3887
